name,adp,adp_std
Shohei Ohtani,1.5,0.8
Aaron Judge,3.0,1.5
Ronald Acuna Jr.,4.0,2.0
Mookie Betts,5.0,2.0
Trea Turner,7.0,2.5
Bobby Witt Jr.,6.0,2.0
Juan Soto,8.0,3.0
Freddie Freeman,10.0,3.0
Corey Seager,12.0,3.0
Jose Ramirez,11.0,3.5
Julio Rodriguez,14.0,4.0
Fernando Tatis Jr.,15.0,4.0
Rafael Devers,16.0,4.0
Yordan Alvarez,18.0,4.0
Kyle Tucker,17.0,4.0
Marcus Semien,20.0,5.0
Matt Olson,22.0,5.0
Corbin Carroll,24.0,5.0
Gunnar Henderson,19.0,4.5
Elly De La Cruz,21.0,5.0
Spencer Strider,25.0,6.0
Tarik Skubal,26.0,6.0
Gerrit Cole,28.0,6.0
Zack Wheeler,30.0,6.0
Manny Machado,32.0,7.0
Corbin Burnes,35.0,7.0
Vladimir Guerrero Jr.,33.0,7.0
Bo Bichette,36.0,7.0
Adley Rutschman,38.0,8.0
William Contreras,40.0,8.0
Tyler Glasnow,42.0,8.0
Yoshinobu Yamamoto,44.0,8.0
Logan Webb,45.0,9.0
Pete Alonso,48.0,9.0
Ozzie Albies,50.0,9.0
Ketel Marte,52.0,10.0
Chris Sale,55.0,10.0
Teoscar Hernandez,58.0,10.0
Cody Bellinger,60.0,10.0
Dylan Cease,62.0,11.0
Pablo Lopez,65.0,11.0
Framber Valdez,68.0,12.0
Sonny Gray,70.0,12.0
Kevin Gausman,72.0,12.0
Jackson Chourio,75.0,13.0
Seiya Suzuki,78.0,13.0
Christian Yelich,80.0,14.0
Marcell Ozuna,82.0,14.0
Brent Rooker,85.0,14.0
Luis Robert Jr.,88.0,15.0
Mike Trout,90.0,15.0
Ranger Suarez,92.0,15.0
Shota Imanaga,95.0,15.0
Tanner Bibee,98.0,16.0
Max Fried,100.0,16.0
Emmanuel Clase,105.0,17.0
Josh Hader,108.0,17.0
Ryan Helsley,110.0,18.0
Devin Williams,115.0,18.0
J.T. Realmuto,55.0,10.0
Salvador Perez,90.0,15.0
Willson Contreras,95.0,16.0
Gleyber Torres,100.0,16.0
Willy Adames,88.0,15.0
Bobby Miller,105.0,17.0
Hunter Brown,110.0,18.0
Grayson Rodriguez,102.0,17.0
Justin Verlander,108.0,18.0
Shane McClanahan,112.0,18.0
Bryce Miller,115.0,18.0
Seth Lugo,118.0,19.0
Edwin Diaz,120.0,19.0
Raisel Iglesias,125.0,20.0
Robert Suarez,128.0,20.0
Andres Munoz,130.0,20.0
Pete Fairbanks,135.0,22.0
Paul Goldschmidt,105.0,17.0
