Name,Team,Pos,PA,AB,H,HR,R,RBI,BB,SB,AVG,OBP,SLG
Shohei Ohtani,LAD,OF,700,600,190,50,130,120,85,20,.317,.411,.650
Aaron Judge,NYY,OF,680,570,165,52,125,130,95,5,.289,.400,.630
Mookie Betts,LAD,SS,670,580,180,28,120,85,75,15,.310,.396,.540
Ronald Acuna Jr.,ATL,OF,660,575,175,30,115,80,70,60,.304,.388,.530
Trea Turner,PHI,SS,650,600,185,25,105,80,35,28,.308,.355,.500
Freddie Freeman,LAD,1B,680,590,195,25,110,100,75,10,.331,.408,.530
Corey Seager,TEX,SS,640,575,170,33,100,100,50,3,.296,.362,.540
Juan Soto,NYM,OF,680,560,160,35,110,100,110,5,.286,.421,.540
Bobby Witt Jr.,KC,SS,680,630,200,30,110,95,35,40,.317,.360,.530
Marcus Semien,TEX,2B,680,625,175,25,105,85,40,20,.280,.335,.470
Jose Ramirez,CLE,3B,660,590,175,30,100,110,55,25,.297,.369,.530
Julio Rodriguez,SEA,OF,650,600,170,28,95,85,35,30,.283,.338,.490
Rafael Devers,BOS,3B,670,600,185,32,100,105,55,2,.308,.376,.550
Yordan Alvarez,HOU,OF,650,570,170,35,95,110,65,1,.298,.386,.570
Kyle Tucker,CHC,OF,650,580,170,30,100,95,55,20,.293,.367,.520
Manny Machado,SD,3B,660,595,172,28,90,95,50,12,.289,.354,.500
Matt Olson,ATL,1B,680,600,160,38,95,110,65,2,.267,.349,.520
Bo Bichette,TOR,SS,640,600,180,20,85,80,25,15,.300,.338,.460
Gunnar Henderson,BAL,SS,670,600,170,32,100,90,55,12,.283,.360,.510
Elly De La Cruz,CIN,SS,620,570,145,25,95,70,35,65,.254,.320,.450
William Contreras,MIL,C,630,560,165,22,80,85,55,3,.295,.368,.480
Adley Rutschman,BAL,C,650,565,160,22,85,85,70,3,.283,.376,.470
J.T. Realmuto,PHI,C,580,520,145,18,70,70,45,12,.279,.349,.450
Salvador Perez,KC,C,610,570,155,25,70,90,25,0,.272,.308,.470
Willson Contreras,STL,C,570,510,140,20,65,75,45,2,.275,.351,.460
Ozzie Albies,ATL,2B,640,595,170,25,90,80,30,15,.286,.330,.470
Gleyber Torres,DET,2B,620,570,160,18,80,70,35,8,.281,.335,.430
Marcus Stroman,NYM,2B,600,550,155,15,75,65,35,5,.282,.333,.410
Ketel Marte,ARI,2B,650,590,180,25,95,90,45,5,.305,.370,.500
Willy Adames,SF,SS,640,575,150,30,90,95,50,15,.261,.339,.480
Pete Alonso,NYM,1B,660,590,155,40,90,115,55,1,.263,.339,.520
Vladimir Guerrero Jr.,TOR,1B,680,610,190,28,95,100,55,5,.311,.376,.510
Paul Goldschmidt,NYY,1B,630,560,150,22,75,80,55,3,.268,.345,.450
Cody Bellinger,CHC,OF,620,560,160,22,80,75,45,10,.286,.348,.470
Teoscar Hernandez,LAD,OF,630,580,160,28,85,90,35,6,.276,.329,.490
Fernando Tatis Jr.,SD,OF,600,540,155,30,90,85,45,20,.287,.361,.540
Corbin Carroll,ARI,OF,650,585,160,20,95,70,50,35,.274,.342,.440
Jackson Chourio,MIL,OF,620,575,160,22,80,75,30,20,.278,.330,.460
Christian Yelich,MIL,OF,600,520,150,18,85,65,65,15,.288,.385,.460
Seiya Suzuki,CHC,OF,600,540,155,25,80,85,45,8,.287,.356,.490
Luis Robert Jr.,CWS,OF,550,510,140,28,75,80,25,15,.275,.320,.500
Mike Trout,LAA,OF,500,440,125,28,75,75,50,5,.284,.375,.540
Marcell Ozuna,ATL,DH,640,580,165,35,85,105,45,1,.284,.341,.520
Brent Rooker,OAK,OF,600,540,145,32,80,90,45,3,.269,.339,.510
