Name,Team,W,L,GS,G,IP,H,ER,BB,K,ERA,WHIP,SV
Spencer Strider,ATL,14,5,30,30,195,145,55,50,260,2.54,1.00,0
Gerrit Cole,NYY,14,6,32,32,210,170,65,45,240,2.79,1.02,0
Zack Wheeler,PHI,14,7,33,33,215,175,62,40,235,2.60,1.00,0
Corbin Burnes,BAL,13,7,33,33,210,180,68,45,220,2.91,1.07,0
Logan Webb,SF,13,8,33,33,215,195,70,40,190,2.93,1.09,0
Tarik Skubal,DET,15,5,32,32,205,160,55,40,240,2.41,0.98,0
Yoshinobu Yamamoto,LAD,12,6,28,28,175,145,52,38,200,2.67,1.05,0
Dylan Cease,SD,12,8,32,32,195,160,65,60,230,3.00,1.13,0
Pablo Lopez,MIN,12,7,32,32,200,175,65,40,210,2.93,1.08,0
Framber Valdez,HOU,13,7,33,33,210,190,70,55,200,3.00,1.17,0
Sonny Gray,STL,12,7,32,32,195,165,60,50,210,2.77,1.10,0
Kevin Gausman,TOR,12,8,32,32,200,175,68,40,215,3.06,1.08,0
Ranger Suarez,PHI,12,6,30,30,185,165,55,40,180,2.68,1.11,0
Shota Imanaga,CHC,11,6,30,30,180,155,55,35,195,2.75,1.06,0
Tanner Bibee,CLE,12,7,32,32,195,170,62,45,210,2.86,1.10,0
Bobby Miller,LAD,11,7,30,30,185,165,60,45,200,2.92,1.14,0
Hunter Brown,HOU,11,8,32,32,190,175,70,55,200,3.32,1.21,0
Grayson Rodriguez,BAL,12,7,32,32,195,170,65,50,210,3.00,1.13,0
Tyler Glasnow,LAD,10,5,26,26,160,125,48,40,210,2.70,1.03,0
Max Fried,NYY,12,7,30,30,185,170,60,45,180,2.92,1.16,0
Justin Verlander,HOU,10,7,28,28,170,160,60,35,170,3.18,1.15,0
Chris Sale,ATL,13,5,30,30,185,160,55,40,210,2.68,1.08,0
Shane McClanahan,TB,10,6,25,25,155,135,48,35,180,2.79,1.10,0
Bryce Miller,SEA,11,7,32,32,190,175,65,40,195,3.08,1.13,0
Seth Lugo,KC,12,7,32,32,200,180,68,45,190,3.06,1.13,0
Emmanuel Clase,CLE,3,2,0,70,70,50,12,15,80,1.54,0.93,42
Josh Hader,HOU,3,3,0,65,65,45,15,20,85,2.08,1.00,38
Ryan Helsley,STL,3,2,0,65,65,48,14,18,80,1.94,1.02,40
Devin Williams,MIL,3,2,0,60,60,40,12,20,85,1.80,1.00,35
Edwin Diaz,NYM,3,3,0,60,60,45,15,18,80,2.25,1.05,32
Raisel Iglesias,ATL,3,2,0,65,65,50,16,15,75,2.22,1.00,35
Robert Suarez,SD,3,2,0,65,65,48,14,18,70,1.94,1.02,34
Andres Munoz,SEA,3,2,0,65,65,45,14,20,85,1.94,1.00,33
Pete Fairbanks,TB,3,3,0,60,60,48,16,18,70,2.40,1.10,30
